,name_track,name_artist,genre,type,year,id,popularity
94,Hollywood's Bleeding,Post Malone,pop,track,2019,7sWRlDoTDX8geTR8zzr2vt,75
95,Ok Love You Bye,Olivia Dean,pop,track,2019,66YywMJbAgzQrGkFKjnSsK,76
96,False Confidence,Noah Kahan,pop,track,2019,7nDFTHHwfe32a8qdp9XqPy,77
97,Dance Monkey,Tones And I,pop,track,2019,2XU0oxnq2qxCpomAAuJY8K,76
98,Holmenkollen Hills,Amara,pop,track,2019,2TCOqFDW6MND5uJkynuse2,43
99,Happiness is a butterfly,Lana Del Rey,pop,track,2019,3lG6OtGDsYAOALxEmubQQm,77
100,skittles,Karpe,pop,track,2019,4xdOjt8F7VlOuu3kpDHEWN,43
101,Sunnanvind,Mares,pop,track,2019,4GK4mydvnsodLEHWb4zJV4,62
102,Walls,Ruben,pop,track,2019,57cVWZMZVXpacFiPOnAxSH,47
103,Jealous,Eyedress,pop,track,2019,1aXV8GrmQLvgoFtBPERP7E,83
104,wish you were gay,Billie Eilish,pop,track,2019,3Fj47GNK2kUF0uaEDgXLaD,77
105,Heads Will Roll - A-Trak Remix Radio Edit,Yeah Yeah Yeahs,pop,track,2019,5qGIfWDRdyO67LCTqA2sEn,72
106,Touch,Cigarettes After Sex,pop,track,2019,1v7ptGUBS2DbbRmfIG0hU2,78
107,Despacito - Remix,Luis Fonsi,pop,track,2019,1vnnXMrBeEWiRg3YCMCjQq,73
108,Hurt Somebody,Noah Kahan,pop,track,2019,2Zg0aB5oVQlbQE1vzQmIIY,73
109,Sprint,06 Boys,pop,track,2019,1wbm612Jt38EXw6CNuiIPE,42
110,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,pop,track,2019,7Feaw9WAEREY0DUOSXJLOM,73
111,Would That I,Hozier,pop,track,2019,0L3oQdYUvVbsOOPJSkZ3C3,72
112,I Don't Care (with Justin Bieber),Ed Sheeran,pop,track,2019,3HVWdVOQ0ZA45FuZGSfvns,77
113,ily (i love you baby) (feat. Emilee),Surf Mesa,pop,track,2019,62aP9fBQKYKxi7PDXwcUAS,77
114,Slide Away,Miley Cyrus,pop,track,2019,6QQtHdz4PNJWQX4nrAQGC9,69
115,Don't Start Now,Dua Lipa,pop,track,2019,6WrI0LAC5M1Rw2MnX2ZvEg,76
116,Wow.,Post Malone,pop,track,2019,7xQAfvXzm3AkraOtGPWIZg,79
117,Grace,Lewis Capaldi,pop,track,2019,0pEkK8MqbmGSX7fT8WLMbR,69
118,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,pop,track,2019,7CZyCXKG6d5ALeq41sLzbw,76
119,Señorita,Shawn Mendes,pop,track,2019,6v3KW9xbzN5yKLt9YKDYA2,81
120,Power,Ruben,pop,track,2019,7yuWNNEypticZS0yPAMPt9,43
121,YKWIM?,Yot Club,pop,track,2019,2vWBUC9djv6BtiGlmKiQaH,81
122,Goodbyes (feat. Young Thug),Post Malone,pop,track,2019,0t3ZvGKlmYmVsDzBJAXK8C,78
123,Before You Go,Lewis Capaldi,pop,track,2019,7ce20yLkzuXXLUhzIDoZih,71
124,all the good girls go to hell,Billie Eilish,pop,track,2019,6IRdLKIyS4p7XNiP8r6rsx,76
125,"thank u, next",Ariana Grande,pop,track,2019,3e9HZxeyfWwjeyPAMmWSSQ,81
126,Breaking Me,Topic,pop,track,2019,3H7ihDc1dqLriiWXwsc2po,75
127,You Don't Know Me (feat. RAYE),Jax Jones,pop,track,2019,4DJORZgsbqnEJ4f4B9TBGV,72
128,Stand Up (From Harriet),Cynthia Erivo,pop,track,2019,3wNNbf63xkxw9rIVWtFy7a,71
129,Lag på lag på lag,Gabrielle,pop,track,2019,52Co2m3JdvM7h63EJ6b13G,41
130,Härifrån,Dizzy,pop,track,2019,0vNopIwcSU0WMHXQ6Oq40W,56
131,Golden,Harry Styles,pop,track,2019,45S5WTQEGOB1VHr1Q4FuPl,77
132,Blah Blah Blah,Armin van Buuren,pop,track,2019,1moFkZDqcjQNeXtyoanLHv,71
133,Beautiful People (feat. Khalid),Ed Sheeran,pop,track,2019,4evmHXcjt3bTUHD1cvny97,73
134,Bags,Clairo,pop,track,2019,6UFivO2zqqPFPoQYsEMuCc,82
135,All The Things We Forgot - Acoustic,Moyka,pop,track,2019,2vYqq3fe4MbBHtEW05E7gV,42
136,Norman fucking Rockwell,Lana Del Rey,pop,track,2019,3RIgHHpnFKj5Rni1shokDj,76
